surah,ayah,latin_iast,latin_ascii
1,1,"āllāhara nāme śuru karachi, yini parama karuṇāmaẏa o ati daẏālu.","allahara name suru karachi, yini parama karunamaya o ati dayalu."
1,2,samasta praśaṃsā ekamātra āllāhara janya yini jagatasamūhera pratipālaka.,samasta prasamsa ekamatra allahara janya yini jagatasamuhera pratipalaka.
1,3,"yini parama karuṇāmaẏa, atiśaẏa daẏālu.","yini parama karunamaya, atisaya dayalu."
1,4,yini pratiphala divasera mālika.,yini pratiphala divasera malika.
1,5,āmarā śudhu āpanārai ivādata kari evaṃ āpanārai nikaṭa sāhāyya prārthanā kari.,amara sudhu apanarai ivadata kari evam apanarai nikata sahayya prarthana kari.
1,6,āmāderake sarala saṭhika patha pradarśana karuna.,amaderake sarala sathika patha pradarsana karuna.
1,7,"tādera patha, yādera prati āpani anugraha karechena; tādera patha naẏa yārā gayava prāpta evaṃ tādera pathao naẏa yārā pathabhraṣṭa.","tadera patha, yadera prati apani anugraha karechena; tadera patha naya yara gayava prapta evam tadera pathao naya yara pathabhrasta."
2,1,"ālipha, lā-ma, mī-ma.","alipha, la-ma, mi-ma."
2,2,eṭā ai grantha yāra madhye konarūpa sandeha nei; muttākvīdera janya hidāẏāta vā muktipathera diśārī.,eta ai grantha yara madhye konarupa sandeha nei; muttakvidera janya hidayata va muktipathera disari.
2,3,"yārā adṛśya viṣaẏagulote viśvāsa sthāpana kare, sālāta pratiṣṭhā kare evaṃ āmi tāderake ye jīvanopakaraṇa dāna karechi tā hate vyaẏa kare.","yara adrsya visayagulote visvasa sthapana kare, salata pratistha kare evam ami taderake ye jivanopakarana dana karechi ta hate vyaya kare."
2,4,āra yārā tomāra prati yā avatīrṇa karā haẏeche o tomāra pūrve yā avatīrṇa karā haẏechila tāte īmāna āne evaṃ tārā parakālera prati dṛr̤ha viśvāsa rākhe.,ara yara tomara prati ya avatirna kara hayeche o tomara purve ya avatirna kara hayechila tate imana ane evam tara parakalera prati drrha visvasa rakhe.
2,5,erāi tādera ravera pakṣa hate prāpta hidāẏātera opara pratiṣṭhita raẏeche evaṃ erāi saphalakāma.,erai tadera ravera paksa hate prapta hidayatera opara pratisthita rayeche evam erai saphalakama.
2,6,"niścaẏa yārā kupharī kareche tāderake tumi satarka kara vā nā kara- ubhaẏaṭā tādera janya samāna, tārā īmāna ānave nā.","niscaya yara kuphari kareche taderake tumi satarka kara va na kara- ubhayata tadera janya samana, tara imana anave na."
2,7,"āllāha tādera antarasamūhera opara o tādera śravaṇaśaktira opara moharāṅkita kare diẏechena evaṃ tādera dṛṣṭiśaktira opara āvaraṇa par̤e āche, āra tādera janya raẏeche gurutara śāsti.","allaha tadera antarasamuhera opara o tadera sravanasaktira opara moharankita kare diyechena evam tadera drstisaktira opara avarana pare ache, ara tadera janya rayeche gurutara sasti."
2,8,āra mānuṣera madhye emana loka āche yārā vale- āmarā āllāhara prati evaṃ parakālera opara īmāna enechi; athaca tārā moṭei īmānadāra naẏa.,ara manusera madhye emana loka ache yara vale- amara allahara prati evam parakalera opara imana enechi; athaca tara motei imanadara naya.
2,9,tārā āllāha o mu’minadera sāthe pratāraṇā kare. āsale tārā nijedera vyatīta āra kārao sāthe pratāraṇā kare nā; athaca tārā eṭā anubhava karate pāre nā.,tara allaha o mu’minadera sathe pratarana kare. asale tara nijedera vyatita ara karao sathe pratarana kare na; athaca tara eta anubhava karate pare na.
2,10,"tādera antare roga raẏeche, oparantu āllāha tādera roga ārao vār̤iẏe diẏechena evaṃ tādera janya yantraṇādāẏaka śāsti raẏeche yehetu tārā mithyā valato.","tadera antare roga rayeche, oparantu allaha tadera roga arao variye diyechena evam tadera janya yantranadayaka sasti rayeche yehetu tara mithya valato."
2,11,"āra yakhana tāderake valā haẏa- tomarā pṛthivīte phāsāda sṛṣṭi kara nā takhana tārā vale, āmarā to śudhu saṃśodhanakārī.","ara yakhana taderake vala haya- tomara prthivite phasada srsti kara na takhana tara vale, amara to sudhu samsodhanakari."
2,12,sāvadhāna! tārāi phāsāda sṛṣṭikārī; kintu tārā vojhe nā.,savadhana! tarai phasada srstikari; kintu tara vojhe na.
2,13,"āra yakhana tāderake valā haẏa, lokerā yerūpa īmāna eneche tomarāo anurūpa īmāna āna. takhana tārā vale, nirveādherā yerūpa īmāna eneche āmarāo ki serūpa īmāna ānava? sāvadhāna! niścaẏai tārāi nirveādha kintu tārā jāne nā.","ara yakhana taderake vala haya, lokera yerupa imana eneche tomarao anurupa imana ana. takhana tara vale, nirveadhera yerupa imana eneche amarao ki serupa imana anavay savadhana! niscayai tarai nirveadha kintu tara jane na."
