surah,ayah,latin_iast,latin_ascii
1,1,parama karuṇāmaẏa ati daẏālu āllāhara nāme.,parama karunamaya ati dayalu allahara name.
1,2,"samasta praśaṃsā āllāhara janya, yini sṛṣṭikulera rava.","samasta prasamsa allahara janya, yini srstikulera rava."
1,3,"daẏāmaẏa, parama daẏālu, parama karuṇāmaẏa, ati daẏālu.","dayamaya, parama dayalu, parama karunamaya, ati dayalu."
1,4,vicāra divasera mālika.,vicara divasera malika.
1,5,āpanārai āmarā ivādāta kari evaṃ āpanārai nikaṭa āmarā sāhāyya cāi.,apanarai amara ivadata kari evam apanarai nikata amara sahayya cai.
1,6,āmāderake sarala patha dekhāna. pathera hidāẏāta dina.,amaderake sarala patha dekhana. pathera hidayata dina.
1,7,"tādera patha, yādera upara āpani anugraha karechena. yāderake niẏāmata diẏechena.yādera upara (āpanāra) krodha āpatita haẏani evaṃ yārā pathabhraṣṭao naẏa.","tadera patha, yadera upara apani anugraha karechena. yaderake niyamata diyechena.yadera upara (apanara) krodha apatita hayani evam yara pathabhrastao naya."
2,1,ālipha-lāma-mīma.* *e akṣaragulo kuraānera ekaṭi mu‘jiyā- yāra prakṛta artha ekamātra āllāhai jānena.,alipha-lama-mima.* *e aksaragulo kuraanera ekati mu‘jiya- yara prakrta artha ekamatra allahai janena.
2,2,"ei sei kitāva, yāte kona sandeha nei, muttākīdera janya hidāẏāta.","ei sei kitava, yate kona sandeha nei, muttakidera janya hidayata."
2,3,"gāẏevera prati īmāna āne, sālāta kāẏema kare evaṃ āmi tāderake ye riyka diẏechi tā theke vyaẏa kare.","gayevera prati imana ane, salata kayema kare evam ami taderake ye riyka diyechi ta theke vyaya kare."
2,4,"āra yārā īmāna āne tāte, yā tomāra prati nāyila karā haẏeche evaṃ yā tomāra pūrve nāyila karā haẏeche. āra ākhirātera prati tārā iẏākīna rākhe.","ara yara imana ane tate, ya tomara prati nayila kara hayeche evam ya tomara purve nayila kara hayeche. ara akhiratera prati tara iyakina rakhe."
2,5,tārā tādera ravera pakṣa theke hidāẏātera upara raẏeche evaṃ tārāi saphalakāma.,tara tadera ravera paksa theke hidayatera upara rayeche evam tarai saphalakama.
2,6,"niścaẏa yārā kupharī kareche, tumi tāderake satarka kara kiṃvā nā kara, ubhaẏai tādera janya varāvara, tārā īmāna ānave nā.","niscaya yara kuphari kareche, tumi taderake satarka kara kimva na kara, ubhayai tadera janya varavara, tara imana anave na."
2,7,āllāha tādera antare evaṃ tādera kāne mohara lāgiẏe diẏechena evaṃ tādera cokhasamūhe raẏeche pardā. āra tādera janya raẏeche mahāāyāva.,allaha tadera antare evam tadera kane mohara lagiye diyechena evam tadera cokhasamuhe rayeche parda. ara tadera janya rayeche mahaayava.
2,8,"āra mānuṣera madhye kichu emana āche, yārā vale, ‘āmarā īmāna enechi āllāhara prati evaṃ śeṣa dinera prati’, athaca tārā mumina naẏa.","ara manusera madhye kichu emana ache, yara vale, ‘amara imana enechi allahara prati evam sesa dinera prati’, athaca tara mumina naya."
2,9,tārā āllāhake evaṃ yārā īmāna eneche tāderake dho~kā dicche. athaca tārā nijaderakei dho~kā dicche evaṃ tārā tā anudhāvana kare nā.,tara allahake evam yara imana eneche taderake dho~ka dicche. athaca tara nijaderakei dho~ka dicche evam tara ta anudhavana kare na.
2,10,tādera antarasamūhe raẏeche vyādhi. sutarāṃ āllāha tādera vyādhi vār̤iẏe diẏechena. āra tādera janya raẏeche yantraṇādāẏaka āyāva. kāraṇa tārā mithyā valata.,tadera antarasamuhe rayeche vyadhi. sutaram allaha tadera vyadhi variye diyechena. ara tadera janya rayeche yantranadayaka ayava. karana tara mithya valata.
2,11,"āra yakhana tāderake valā haẏa, ‘tomarā yamīne phāsāda karo nā’, tārā vale, ‘āmarā to kevala saṃśodhanakārī’.","ara yakhana taderake vala haya, ‘tomara yamine phasada karo na’, tara vale, ‘amara to kevala samsodhanakari’."
2,12,"jene rākha, niścaẏa tārā phāsādakārī; kintu tārā vujhe nā.","jene rakha, niscaya tara phasadakari; kintu tara vujhe na."
