surah,ayah,latin_iast,latin_ascii
1,1,"parama karuṇāmaẏa, asīma daẏālu āllāhara nāme (śuru karachi).","parama karunamaya, asima dayalu allahara name (suru karachi)."
1,2,"āllāharai janya samasta praśaṃsā, yini viśvajagatera rāvva.","allaharai janya samasta prasamsa, yini visvajagatera ravva."
1,3,"yini parama daẏālu, atiśaẏa karuṇāmaẏa.","yini parama dayalu, atisaya karunamaya."
1,4,yini vicāra dinera mālika.,yini vicara dinera malika.
1,5,āmarā āpanārai ivādāta karachi evaṃ āpanārai nikaṭa sāhāyya cācchi.,amara apanarai ivadata karachi evam apanarai nikata sahayya cacchi.
1,6,āmāderake sarala saṭhika patha pradarśana karuna.,amaderake sarala sathika patha pradarsana karuna.
1,7,"tādera patha, yādera prati āpani anugraha karechena. tādera pathe naẏa, yādera prati āpanāra gayava varṣita haẏeche, tādera pathao naẏa yārā pathabhraṣṭa haẏeche. āmīna!!","tadera patha, yadera prati apani anugraha karechena. tadera pathe naya, yadera prati apanara gayava varsita hayeche, tadera pathao naya yara pathabhrasta hayeche. amina!!"
2,1,ālipha-lāma-mīma.,alipha-lama-mima.
2,2,ihā ai grantha yāra madhye kona sandeha-saṃśaẏera avakāśa nei; dharma-bhīrudera janya e grantha pathanirdeśa.,iha ai grantha yara madhye kona sandeha-samsayera avakasa nei; dharma-bhirudera janya e grantha pathanirdesa.
2,3,yārā adṛśya viṣaẏagulite viśvāsa sthāpana kare evaṃ sālāta pratiṣṭhā kare evaṃ āmi tāderake ye upajīvikā pradāna karechi tā hate dāna kare thāke .,yara adrsya visayagulite visvasa sthapana kare evam salata pratistha kare evam ami taderake ye upajivika pradana karechi ta hate dana kare thake .
2,4,"evaṃ tomāra prati yā avatīrṇa haẏeche o tomāra pūrve yā avatīrṇa haẏechila, yārā tadviṣaẏe viśvāsa sthāpana kare evaṃ ākhirātera prati yārā dṛr̤ha viśvāsa rākhe.","evam tomara prati ya avatirna hayeche o tomara purve ya avatirna hayechila, yara tadvisaye visvasa sthapana kare evam akhiratera prati yara drrha visvasa rakhe."
2,5,erāi tādera ravera pakṣa hate prāpta hidāẏātera upara pratiṣṭhita raẏeche evaṃ erāi pūrṇa saphalakāma.,erai tadera ravera paksa hate prapta hidayatera upara pratisthita rayeche evam erai purna saphalakama.
2,6,"niścaẏai yārā aviśvāsa karache tādera janya ubhaẏai samāna; tumi tāderake bhaẏa pradarśana kara vā nā kara, tārā īmāna ānavenā.","niscayai yara avisvasa karache tadera janya ubhayai samana; tumi taderake bhaya pradarsana kara va na kara, tara imana anavena."
2,7,āllāha tādera antarasamūhera upara o tādera karṇasamūhera upara moharāṃkita kare diẏechena evaṃ tādera cakṣusamūhera upara āvaraṇa par̤e āche evaṃ tādera janya raẏeche bhaẏānaka śāsti.,allaha tadera antarasamuhera upara o tadera karnasamuhera upara moharamkita kare diyechena evam tadera caksusamuhera upara avarana pare ache evam tadera janya rayeche bhayanaka sasti.
