key,surah,ayah,word,latin_iast,latin_ascii
1:1:1,1,1,1,nāme,name
1:1:2,1,1,2,āllāha (ra),allaha (ra)
1:1:3,1,1,3,parama karuṇāmaẏa,parama karunamaya
1:1:4,1,1,4,asīma daẏālu,asima dayalu
1:1:5,1,1,5,(1),(1)
1:2:1,1,2,1,sakala praśaṃsā,sakala prasamsa
1:2:2,1,2,2,āllāhrai janya,allahrai janya
1:2:3,1,2,3,(yini) rava,(yini) rava
1:2:4,1,2,4,sārā jagatera,sara jagatera
1:2:5,1,2,5,(2),(2)
1:3:1,1,3,1,aśeṣa karuṇāmaẏa,asesa karunamaya
1:3:2,1,3,2,parama daẏālu,parama dayalu
1:3:3,1,3,3,(3),(3)
1:4:1,1,4,1,adhipati,adhipati
1:4:2,1,4,2,dinera,dinera
1:4:3,1,4,3,vicārera,vicarera
1:4:4,1,4,4,(4),(4)
1:5:1,1,5,1,āpanārai śudhu,apanarai sudhu
1:5:2,1,5,2,āmarā ivādata kari,amara ivadata kari
1:5:3,1,5,3,evaṃ āpanārai (kāche śudhu),evam apanarai (kache sudhu)
1:5:4,1,5,4,āmarā sāhāyya cāi.,amara sahayya cai.
1:5:5,1,5,5,(5),(5)
1:6:1,1,6,1,āmāderake dekhāna,amaderake dekhana
1:6:2,1,6,2,patha,patha
1:6:3,1,6,3,sarala saṭhika,sarala sathika
1:6:4,1,6,4,(6),(6)
1:7:1,1,7,1,(sei) pathe,(sei) pathe
1:7:2,1,7,2,yāderake,yaderake
1:7:3,1,7,3,āpani anugraha dāna karechena,apani anugraha dana karechena
1:7:4,1,7,4,tādera upara,tadera upara
1:7:5,1,7,5,naẏa (patha),naya (patha)
1:7:6,1,7,6,abhiśaptadera,abhisaptadera
1:7:7,1,7,7,yādera upara (gajava pareche),yadera upara (gajava pareche)
1:7:8,1,7,8,evaṃ nā,evam na
1:7:9,1,7,9,pathabhraṣṭadera,pathabhrastadera
1:7:10,1,7,10,(7),(7)
2:1:1,2,1,1,ālipha lā-ma mī-ma,alipha la-ma mi-ma
2:1:2,2,1,2,(1),(1)
2:2:1,2,2,1,(eṭā) sei,(eta) sei
2:2:2,2,2,2,mahāgrantha (āllāhara),mahagrantha (allahara)
2:2:3,2,2,3,nei,nei
2:2:4,2,2,4,kono sandeha,kono sandeha
2:2:5,2,2,5,tā~ramadhye,ta~ramadhye
2:2:6,2,2,6,satpatha nirdeśa (hedāẏāta),satpatha nirdesa (hedayata)
2:2:7,2,2,7,muttākīdera janya,muttakidera janya
2:2:8,2,2,8,(2),(2)
2:3:1,2,3,1,yārā,yara
2:3:2,2,3,2,viśvāsa kare,visvasa kare
2:3:3,2,3,3,adṛśyera opara,adrsyera opara
2:3:4,2,3,4,evaṃ pratiṣṭhita kare,evam pratisthita kare
2:3:5,2,3,5,sālāta,salata
2:3:6,2,3,6,o tā hate yā,o ta hate ya
2:3:7,2,3,7,tādera āmarā jīvikā diẏechi,tadera amara jivika diyechi
2:3:8,2,3,8,tārā vyaẏa kare,tara vyaya kare
2:3:9,2,3,9,(3),(3)
2:4:1,2,4,1,evaṃ yārā,evam yara
2:4:2,2,4,2,viśvāsa kare,visvasa kare
2:4:3,2,4,3,ai viṣaẏe yā,ai visaye ya
2:4:4,2,4,4,avatīrṇa karā haẏeche,avatirna kara hayeche
2:4:5,2,4,5,tomāra prati,tomara prati
2:4:6,2,4,6,evaṃ yā,evam ya
2:4:7,2,4,7,avatīrṇa karā haẏeche,avatirna kara hayeche
2:4:8,2,4,8,theke,theke
2:4:9,2,4,9,tomāra pūrve,tomara purve
2:4:10,2,4,10,evaṃ ākhirātera upara,evam akhiratera upara
2:4:11,2,4,11,tārā,tara
2:4:12,2,4,12,dṛr̤haviśvāsa rākhe,drrhavisvasa rakhe
2:4:13,2,4,13,(4),(4)
2:5:1,2,5,1,tārāi (pratiṣṭhita),tarai (pratisthita)
2:5:2,2,5,2,upara,upara
2:5:3,2,5,3,satyapathera,satyapathera
2:5:4,2,5,4,pakṣa hate,paksa hate
2:5:5,2,5,5,tādera ravera,tadera ravera
2:5:6,2,5,6,evaṃ tārāi (aisava loka),evam tarai (aisava loka)
2:5:7,2,5,7,yārā,yara
2:5:8,2,5,8,saphalakāma,saphalakama
2:5:9,2,5,9,(5),(5)
2:6:1,2,6,1,niścaẏai,niscayai
2:6:2,2,6,2,yārā,yara
2:6:3,2,6,3,aviśvāsa kareche,avisvasa kareche
2:6:4,2,6,4,samāna,samana
2:6:5,2,6,5,tādera janye,tadera janye
2:6:6,2,6,6,tādera tumi satarka kara ki,tadera tumi satarka kara ki
2:6:7,2,6,7,athavā,athava
2:6:8,2,6,8,nā,na
2:6:9,2,6,9,satarka kara tumi tāderake,satarka kara tumi taderake
2:6:10,2,6,10,nā,na
2:6:11,2,6,11,tārā īmāna ānave,tara imana anave
2:6:12,2,6,12,(6),(6)
2:7:1,2,7,1,sila mere diẏechena,sila mere diyechena
2:7:2,2,7,2,āllāha,allaha
2:7:3,2,7,3,upara,upara
2:7:4,2,7,4,tādera antarera,tadera antarera
2:7:5,2,7,5,evaṃ upara,evam upara
2:7:6,2,7,6,tādera śravaṇaśaktira,tadera sravanasaktira
2:7:7,2,7,7,evaṃ upara,evam upara
2:7:8,2,7,8,tādera dṛṣṭiśaktira,tadera drstisaktira
2:7:9,2,7,9,āvaraṇa (diẏechena),avarana (diyechena)
2:7:10,2,7,10,evaṃ tāderajanye (raẏeche),evam taderajanye (rayeche)
2:7:11,2,7,11,śāsti,sasti
2:7:12,2,7,12,kaṭhina,kathina
2:7:13,2,7,13,(7),(7)
2:8:1,2,8,1,evaṃ madhyahate,evam madhyahate
2:8:2,2,8,2,mānuṣera (emanao āche),manusera (emanao ache)
2:8:3,2,8,3,yārā,yara
2:8:4,2,8,4,vale,vale
2:8:5,2,8,5,''āmarā īmāna enechi,''amara imana enechi
2:8:6,2,8,6,āllāhara upara,allahara upara
2:8:7,2,8,7,o dinera upara,o dinera upara
2:8:8,2,8,8,ākhirātera'',akhiratera''
2:8:9,2,8,9,athaca nā,athaca na
2:8:10,2,8,10,tārā,tara
2:8:11,2,8,11,mumina,mumina
2:8:12,2,8,12,(8),(8)
2:9:1,2,9,1,tārā pratārita karate cāẏa,tara pratarita karate caya
2:9:2,2,9,2,āllāhake,allahake
2:9:3,2,9,3,o (tāderake) yārā,o (taderake) yara
2:9:4,2,9,4,īmāna eneche,imana eneche
2:9:5,2,9,5,kintu nā,kintu na
2:9:6,2,9,6,tārā pratārita kare,tara pratarita kare
2:9:7,2,9,7,chār̤ā,chara
2:9:8,2,9,8,tādera nijederake,tadera nijederake
2:9:9,2,9,9,evaṃ nā,evam na
2:9:10,2,9,10,tārā anubhava kare,tara anubhava kare
2:9:11,2,9,11,(9),(9)
2:10:1,2,10,1,madhye āche,madhye ache
2:10:2,2,10,2,tādera antara samūhera,tadera antara samuhera
2:10:3,2,10,3,roga (āche),roga (ache)
2:10:4,2,10,4,vṛddhi karalena tāi (ārao) tāderake,vrddhi karalena tai (arao) taderake
2:10:5,2,10,5,āllāh,allah
2:10:6,2,10,6,(tādera) roga,(tadera) roga
2:10:7,2,10,7,evaṃ tādera janya (raẏeche),evam tadera janya (rayeche)
2:10:8,2,10,8,śāsti,sasti
2:10:9,2,10,9,kaṣṭadāẏaka,kastadayaka
2:10:10,2,10,10,ejanye ye,ejanye ye
2:10:11,2,10,11,tārā chila,tara chila
2:10:12,2,10,12,tārā mithyā valato,tara mithya valato
2:10:13,2,10,13,(10),(10)
2:11:1,2,11,1,evaṃ yakhana,evam yakhana
2:11:2,2,11,2,valā haẏa,vala haya
2:11:3,2,11,3,tādera uddeśye,tadera uddesye
2:11:4,2,11,4,''nā,''na
2:11:5,2,11,5,viparyaẏa sṛṣṭi karo,viparyaya srsti karo
2:11:6,2,11,6,madhye,madhye
2:11:7,2,11,7,pṛthivīra'',prthivira''
2:11:8,2,11,8,tārā vale,tara vale
2:11:9,2,11,9,''mūlataḥ,''mulatah
2:11:10,2,11,10,āmarā,amara
2:11:11,2,11,11,saṃśodhanakārī'',samsodhanakari''
2:11:12,2,11,12,(11),(11)
2:12:1,2,12,1,sāvadhāna,savadhana
2:12:2,2,12,2,tārā niścaẏai,tara niscayai
2:12:3,2,12,3,tārāi,tarai
2:12:4,2,12,4,viparyaẏa sṛṣṭikārī,viparyaya srstikari
2:12:5,2,12,5,kintu,kintu
2:12:6,2,12,6,nā,na
2:12:7,2,12,7,tārā anubhava kare,tara anubhava kare
2:12:8,2,12,8,(12),(12)
2:13:1,2,13,1,evaṃ yakhana,evam yakhana
2:13:2,2,13,2,valā haẏa,vala haya
2:13:3,2,13,3,tādera uddeśye,tadera uddesye
2:13:4,2,13,4,''tomarā īmāna āno,''tomara imana ano
2:13:5,2,13,5,yemana,yemana
2:13:6,2,13,6,īmāna eneche,imana eneche
2:13:7,2,13,7,mānuṣa'',manusa''
2:13:8,2,13,8,tārā vale,tara vale
2:13:9,2,13,9,''āmarā ki īmāna ānavo,''amara ki imana anavo
2:13:10,2,13,10,yemana,yemana
2:13:11,2,13,11,īmāna eneche,imana eneche
2:13:12,2,13,12,vokārā'',vokara''
2:13:13,2,13,13,sāvadhāna,savadhana
2:13:14,2,13,14,niścaẏai tārā,niscayai tara
2:13:15,2,13,15,tārāi,tarai
2:13:16,2,13,16,vokā,voka
2:13:17,2,13,17,kintu,kintu
2:13:18,2,13,18,nā,na
2:13:19,2,13,19,tārā jāne,tara jane
2:13:20,2,13,20,(13),(13)
2:14:1,2,14,1,evaṃ yakhana,evam yakhana
